,Inlet,Weather,Weather,Weather,Weather,Outlet
Weeks,BOD (mg/l),tavg,prcp,wspd,Relative Humidity,BOD (mg/l)
1,207,29.04,10.26,8.23,65,130
2,198,27.53,7.44,8.04,64.14,121
3,201,28.57,2.66,7.23,64.86,119
4,210,28.04,13.11,7.5,64.86,122
5,192,28.41,3.5,8.13,65,98
6,187,27.81,0.84,8.9,72.71,88
7,189,27.83,7.79,10.34,73.71,70
8,195,26.41,4.51,10.73,74.14,62
9,223,26.07,3.3,7.9,73.67,67
10,215,27.84,0.86,8.84,75.5,56
11,221,25.64,15.3,11.61,76.29,55
12,212,27.73,0.91,8.03,76.14,51
13,177,26.9,4.51,8.56,77.14,46
14,170,25.9,0.11,13.36,76.86,46
15,175,25.84,0.76,12.06,76.43,46
16,179,25.89,4.7,13.56,77,39
17,208,26.1,0.44,12.71,76.17,44
18,194,26.77,0.87,10.99,76.86,41
19,202,26.89,0,11.14,72.43,42
20,206,27.03,0,11.09,71.29,47
21,165,27.51,0,11.77,70.86,36
22,178,28.27,2.67,15.49,70.86,36
23,171,29.3,0,8.65,69.14,38
24,169,23.69,3.6,8.44,64,35
25,150,23,0,6.2,65.96,44
26,150,24.2,0,5,67.83,44
27,150,25.1,4.4,6.9,65.88,42
28,181,23.7,0,7.5,63.51,54
29,189,23,0,9.8,64.96,54
30,179,23.2,0.4,11.5,63.68,56
31,150,24.7,1.4,10.6,61.75,47
32,150,23.3,2.4,11.4,64.35,39
33,152,23.6,0,10,62.39,46
34,160,25,0,7.6,62.44,47
35,186,26.4,4.3,5.4,62.46,51
36,213,25.8,3.9,6.4,63.31,64
37,230,26.6,2,7.5,64.06,49
38,267,28.1,0,10.1,62.33,54
39,229,27.9,0.5,10.9,64.06,56
40,206,27.9,1.1,12,64.61,51
41,221,27.7,0.5,13.2,63.84,61
42,232,29.1,2.2,11.6,66.77,68
43,194,28.2,4.4,11.5,67.24,56
44,165,28.9,2,14.2,70.07,58
45,193,28.5,0,12,68.03,62
46,206,27.6,0,11,67.36,76
47,232,26.8,0.9,9.7,67.74,74
48,231,27.1,0,10,66.25,81
49,224,28.3,0,11.7,66.7,81
50,215,29.1,0,10.2,64.98,76
